day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
2,0,4.179,48.0,120.0,0.0,0,0,0,168.0,0.2857142857142857,0.0,0,0.0
3,0,8.927,96.0,96.0,100.0,0,0,0,192.0,0.5,0.0,0,0.0
4,0,8.283,96.0,96.0,0.0,0,0,0,192.0,0.5,0.0,0,0.0
5,0,11.406,120.0,72.0,150.0,0,0,0,192.0,0.625,0.0,0,0.0
6,0,9.291,96.0,72.0,50.0,0,0,0,168.0,0.5714285714285714,0.0,0,0.0
8,0,3.808,48.0,144.0,50.0,0,0,0,192.0,0.25,0.0,0,0.0
9,0,7.422000000000001,72.0,120.0,100.0,0,0,0,192.0,0.375,0.0,0,0.0
10,0,6.861000000000001,72.0,48.0,50.0,0,0,0,120.0,0.6,0.0,0,0.0
11,0,11.411,120.0,72.0,150.0,0,0,0,192.0,0.625,0.0,0,0.0
12,0,8.267,96.0,96.0,150.0,0,0,0,192.0,0.5,0.0,0,0.0
13,0,12.818000000000001,144.0,48.0,200.0,0,0,0,192.0,0.75,0.0,0,0.0
15,0,12.818000000000001,144.0,48.0,0.0,0,0,0,192.0,0.75,0.0,0,0.0
16,0,7.04,72.0,96.0,100.0,0,0,0,168.0,0.42857142857142855,0.0,0,0.0
17,0,11.303,120.0,48.0,0.0,0,0,0,168.0,0.7142857142857143,0.0,0,0.0
18,0,12.402,144.0,48.0,250.0,0,0,0,192.0,0.75,0.0,0,0.0
19,0,10.034,96.0,96.0,150.0,0,0,0,192.0,0.5,0.0,0,0.0
20,0,12.148000000000001,96.0,48.0,150.0,0,0,0,144.0,0.6666666666666666,0.0,0,0.0
22,0,16.468,144.0,48.0,50.0,0,0,0,192.0,0.75,0.0,0,0.0
23,0,13.114999999999998,120.0,48.0,50.0,0,0,0,168.0,0.7142857142857143,0.0,0,0.0
24,0,8.402999999999999,72.0,120.0,150.0,0,0,0,192.0,0.375,0.0,0,0.0
25,0,8.479,96.0,96.0,150.0,0,0,0,192.0,0.5,0.0,0,0.0
26,0,14.086,120.0,72.0,100.0,0,0,0,192.0,0.625,0.0,0,0.0
27,0,14.398,120.0,72.0,100.0,0,0,0,192.0,0.625,0.0,0,0.0
29,0,13.715,120.0,72.0,100.0,0,0,0,192.0,0.625,0.0,0,0.0
30,0,11.916,120.0,72.0,150.0,0,0,0,192.0,0.625,0.0,0,0.0
31,0,13.194999999999999,144.0,48.0,100.0,0,0,0,192.0,0.75,0.0,0,0.0
32,0,7.744,96.0,96.0,100.0,0,0,0,192.0,0.5,0.0,0,0.0
33,0,2.875,48.0,144.0,100.0,0,0,0,192.0,0.25,0.0,0,0.0
34,0,2.875,48.0,144.0,0.0,0,0,0,192.0,0.25,0.0,0,0.0
36,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
37,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
38,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
39,0,0.0,0.0,168.0,0.0,0,0,0,168.0,0.0,0.0,0,0.0
40,0,0.0,0.0,168.0,0.0,0,0,0,168.0,0.0,0.0,0,0.0
41,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
