day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,2463.528152,48.0,168.0,0.0,0,0,0,216.0,0.2222222222222222,0.0,0,0.0
2,0,3136.8626539999996,72.0,144.0,108.64,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
3,0,3299.9973459999997,96.0,120.0,108.16,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
4,0,4008.750349,120.0,96.0,160.20000000000002,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
5,0,4552.853818,144.0,72.0,217.28,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
6,0,3216.9377899999995,96.0,120.0,160.2,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
7,0,3736.190907,96.0,120.0,164.04,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
8,0,3190.787691019641,144.0,72.0,328.08000000000004,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
9,0,3457.4421196000003,144.0,72.0,327.6,0,0,0,216.0,0.6666666666666666,0.0,0,1.8
10,0,4337.1106063,120.0,96.0,270.52,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
11,0,3765.340201,96.0,120.0,216.56,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
12,0,5355.635258,168.0,48.0,323.04,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
13,0,4710.509357999999,144.0,72.0,325.44000000000005,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
14,0,4731.166684999999,144.0,72.0,326.64,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
15,0,4128.349682000001,144.0,72.0,327.12,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
16,0,4265.699301000001,120.0,96.0,274.36,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
17,0,4803.134859999999,192.0,24.0,434.56000000000006,0,0,0,216.0,0.8888888888888888,0.0,0,0.0
18,0,3561.8329240000003,144.0,72.0,329.76,0,0,1,216.0,0.6666666666666666,0.0,0,0.0
19,0,3282.882626,120.0,96.0,271.96,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
20,0,3714.3319629999987,168.0,48.0,377.0,0,0,0,216.0,0.7777777777777778,0.0,0,0.0
21,0,4020.3578829999997,144.0,72.0,321.84,0,0,0,216.0,0.6666666666666666,0.0,0,0.0
22,0,2962.0205210000004,120.0,96.0,215.83999999999997,0,0,0,216.0,0.5555555555555556,0.0,0,0.0
23,0,3316.787974,96.0,120.0,217.04,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
24,0,2793.899961,96.0,120.0,217.04,0,0,0,216.0,0.4444444444444444,0.0,0,0.0
25,0,2161.9625684000007,120.0,96.0,267.88,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
26,0,1998.4594519999994,96.0,120.0,215.12,1,0,0,216.0,0.4444444444444444,0.0,0,0.0
27,0,2364.0527859999997,120.0,96.0,270.28000000000003,0,0,3,216.0,0.5555555555555556,0.0,0,0.0
28,0,2131.914973,72.0,144.0,163.32,0,0,0,216.0,0.3333333333333333,0.0,0,0.0
29,0,2323.135095,120.0,96.0,272.2,0,0,1,216.0,0.5555555555555556,0.0,0,0.0
30,0,1284.7656941,72.0,144.0,162.6,0,0,0,216.0,0.3333333333333333,0.0,0,0.8999999999999999
31,0,1526.9799353,72.0,144.0,162.12,0,0,1,216.0,0.3333333333333333,0.0,0,0.0
32,0,1203.9432939999997,96.0,120.0,215.12,0,0,1,216.0,0.4444444444444444,0.0,0,0.0
33,0,2679.782581,120.0,96.0,269.32,1,0,0,216.0,0.5555555555555556,0.0,0,0.0
34,0,3088.9972724,144.0,72.0,323.52000000000004,0,0,1,216.0,0.6666666666666666,0.0,0,0.0
35,0,1635.5316697999997,96.0,120.0,216.8,0,0,0,216.0,0.4444444444444444,0.0,0,1.2
