day,sample_id,production_units,total_hours,idle_hours,mobilisation_cost,completed_blocks,blackout_conflicts,sequencing_violations,available_hours,utilisation_ratio,downtime_hours,downtime_events,weather_severity_total
1,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
2,0,1.746,24.0,144.0,0.0,0,0,0,168.0,0.14285714285714285,0.0,0,0.0
3,0,8.129,96.0,96.0,0.0,0,0,0,192.0,0.5,0.0,0,0.0
4,0,8.129,96.0,96.0,0.0,0,0,0,192.0,0.5,0.0,0,0.0
5,0,8.733,96.0,96.0,100.0,0,0,0,192.0,0.5,0.0,0,0.0
6,0,6.413,72.0,96.0,0.0,0,0,0,168.0,0.42857142857142855,0.0,0,0.0
8,0,2.062,24.0,168.0,0.0,0,0,0,192.0,0.125,0.0,0,0.0
9,0,6.861000000000001,72.0,120.0,100.0,0,0,0,192.0,0.375,0.0,0,0.0
10,0,6.861000000000001,72.0,48.0,0.0,0,0,0,120.0,0.6,0.0,0,0.0
11,0,6.58,72.0,120.0,50.0,0,0,0,192.0,0.375,0.0,0,0.0
12,0,4.375,48.0,144.0,0.0,0,0,0,192.0,0.25,0.0,0,0.0
13,0,10.736,120.0,72.0,250.0,0,0,0,192.0,0.625,0.0,0,0.0
15,0,12.818000000000001,144.0,48.0,0.0,0,0,0,192.0,0.75,0.0,0,0.0
16,0,9.221,96.0,72.0,100.0,0,0,0,168.0,0.5714285714285714,0.0,0,0.0
17,0,8.396,96.0,72.0,0.0,0,0,0,168.0,0.5714285714285714,0.0,0,0.0
18,0,8.657,96.0,96.0,50.0,0,0,0,192.0,0.5,0.0,0,0.0
19,0,7.475999999999999,96.0,96.0,150.0,0,0,0,192.0,0.5,0.0,0,0.0
20,0,15.601,120.0,24.0,200.0,0,0,0,144.0,0.8333333333333334,0.0,0,0.0
22,0,17.304000000000002,144.0,48.0,50.0,0,0,0,192.0,0.75,0.0,0,0.0
23,0,5.256,48.0,120.0,0.0,0,0,0,168.0,0.2857142857142857,0.0,0,0.0
24,0,11.751999999999999,96.0,96.0,100.0,0,0,0,192.0,0.5,0.0,0,0.0
25,0,8.704999999999998,72.0,120.0,100.0,0,0,0,192.0,0.375,0.0,0,0.0
26,0,11.387,96.0,96.0,50.0,0,0,0,192.0,0.5,0.0,0,0.0
27,0,11.231,96.0,96.0,50.0,0,0,0,192.0,0.5,0.0,0,0.0
29,0,13.715,120.0,72.0,100.0,0,0,0,192.0,0.625,0.0,0,0.0
30,0,11.927,120.0,72.0,150.0,0,0,0,192.0,0.625,0.0,0,0.0
31,0,6.712,96.0,96.0,150.0,0,0,0,192.0,0.5,0.0,0,0.0
32,0,10.611,120.0,72.0,100.0,0,0,0,192.0,0.625,0.0,0,0.0
33,0,3.224,48.0,144.0,50.0,0,0,0,192.0,0.25,0.0,0,0.0
34,0,2.875,48.0,144.0,50.0,0,0,0,192.0,0.25,0.0,0,0.0
36,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
37,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
38,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
39,0,0.0,0.0,168.0,0.0,0,0,0,168.0,0.0,0.0,0,0.0
40,0,0.0,0.0,168.0,0.0,0,0,0,168.0,0.0,0.0,0,0.0
41,0,0.0,0.0,192.0,0.0,0,0,0,192.0,0.0,0.0,0,0.0
