algorithm,scenario,runs,best_objective,mean_objective,best_run_id,best_started_at,best_config,summary_best,summary_configurations,summary_updated_at,machine_costs_summary,repair_usage_alert
bayes,FHOPS Medium42,15,-472.173000,-733.425800,f20052aab3b241248ef42e98701512cb,2025-11-23T22:54:27+00:00,"iters=200; operators=(block_insertion:0.016122286808041175, cross_exchange:0.09296827198701052, mobilisation_shake:1.9374970813638899)",,,,,
bayes,FHOPS MiniToy,15,38.000000,11.666667,57747946b1ca4b8fa6ebdbd6ea0a2bbb,2025-11-23T22:54:18+00:00,"iters=200; operators=(block_insertion:0.9873701953006124, cross_exchange:0.851660580591656, mobilisation_shake:0.6245224459449306)",,,,,
bayes,FHOPS Small21,15,9.075000,-35.833400,7eb8c8fb86c843b2a34c1719dbd2b4cf,2025-11-23T22:54:38+00:00,"iters=200; operators=(block_insertion:0.4869323548808355, cross_exchange:0.916242730470971, mobilisation_shake:0.4965319502964207)",,,,,
bayes,synthetic-small,15,39.791000,39.791000,e22c7aabaa19433a9ae7ef75e84883f5,2025-11-23T22:54:34+00:00,"batch_size=3; iters=200; operators=(block_insertion:1.1026295381657825, cross_exchange:1.4389379395711261, mobilisation_shake:0.8462129202489219)",39.791000,15,2025-11-23T22:54:35+00:00,,
grid,FHOPS Medium42,4,-740.801000,-808.211750,a7d5369a28f140a8beba587563045283,2025-11-23T22:54:15+00:00,"batch_size=2; iters=200; operators=(block_insertion:0.6, cross_exchange:0.6, mobilisation_shake:0.2)",,,,,
grid,FHOPS MiniToy,4,15.500000,9.750000,ceee20e7d7ea4b32a33b281facf8c94f,2025-11-23T22:54:13+00:00,"batch_size=2; iters=200; operators=(block_insertion:0.0, cross_exchange:0.0, mobilisation_shake:0.0)",,,,,
grid,FHOPS Small21,4,-11.228000,-25.394750,893cbe482a2145888902650b1cd9aa1e,2025-11-23T22:54:16+00:00,"batch_size=2; iters=200; operators=(block_insertion:0.0, cross_exchange:0.0, mobilisation_shake:0.0)",,,,,
grid,synthetic-small,4,39.791000,39.791000,3c1804fcded24b3f88c2484b4195a63a,2025-11-23T22:54:15+00:00,"iters=200; operators=(block_insertion:0.0, cross_exchange:0.0, mobilisation_shake:0.0)",39.791000,16,2025-11-23T22:54:16+00:00,,
random,FHOPS Medium42,2,-668.589000,-812.170500,cca84c29222e4e52800aafbc732e37d7,2025-11-23T22:54:10+00:00,"batch_size=2; iters=200; operators=(block_insertion:0.0, cross_exchange:0.0, mobilisation_shake:0.878)",,,,,
random,FHOPS MiniToy,2,35.500000,17.125000,5d0fdd1a23ff4e28b4e91a0b9778ab90,2025-11-23T22:54:09+00:00,"iters=200; operators=(block_insertion:0.837, cross_exchange:0.0, mobilisation_shake:0.66)",,,,,
random,FHOPS Small21,2,-46.284000,-70.442000,2299c8a7bb56412eb8e5bd30050a34b8,2025-11-23T22:54:11+00:00,"batch_size=2; iters=200; operators=(block_insertion:0.0, cross_exchange:0.888, mobilisation_shake:1.223)",,,,,
random,synthetic-small,2,39.791000,39.791000,7285ef8222b74da29662a2aac7419a17,2025-11-23T22:54:11+00:00,"batch_size=2; iters=200; operators=(block_insertion:1.109, cross_exchange:1.309, mobilisation_shake:0.0)",39.791000,8,2025-11-23T22:54:11+00:00,,
