machine_id,block_id,rate
H1,B01,1194.708925
H2,B01,1194.708925
H3,B01,1194.708925
H4,B01,1194.708925
H5,B01,1480.641393
H6,B01,1480.641393
H7,B01,569.826226
H8,B01,569.826226
H9,B01,569.826226
H10,B01,569.826226
H11,B01,569.826226
H12,B01,569.826226
H13,B01,937.184825
H14,B01,937.184825
H15,B01,937.184825
H16,B01,937.184825
H17,B01,937.184825
H18,B01,937.184825
H1,B02,1220.906942
H2,B02,1220.906942
H3,B02,1220.906942
H4,B02,1220.906942
H5,B02,1332.369187
H6,B02,1332.369187
H7,B02,531.895933
H8,B02,531.895933
H9,B02,531.895933
H10,B02,531.895933
H11,B02,531.895933
H12,B02,531.895933
H13,B02,802.411354
H14,B02,802.411354
H15,B02,802.411354
H16,B02,802.411354
H17,B02,802.411354
H18,B02,802.411354
H1,B03,787.363583
H2,B03,787.363583
H3,B03,787.363583
H4,B03,787.363583
H5,B03,1485.153696
H6,B03,1485.153696
H7,B03,441.264891
H8,B03,441.264891
H9,B03,441.264891
H10,B03,441.264891
H11,B03,441.264891
H12,B03,441.264891
H13,B03,733.483855
H14,B03,733.483855
H15,B03,733.483855
H16,B03,733.483855
H17,B03,733.483855
H18,B03,733.483855
H1,B04,1176.844281
H2,B04,1176.844281
H3,B04,1176.844281
H4,B04,1176.844281
H5,B04,1164.728216
H6,B04,1164.728216
H7,B04,517.165642
H8,B04,517.165642
H9,B04,517.165642
H10,B04,517.165642
H11,B04,517.165642
H12,B04,517.165642
H13,B04,687.364703
H14,B04,687.364703
H15,B04,687.364703
H16,B04,687.364703
H17,B04,687.364703
H18,B04,687.364703
H1,B05,901.4407
H2,B05,901.4407
H3,B05,901.4407
H4,B05,901.4407
H5,B05,1308.522056
H6,B05,1308.522056
H7,B05,456.082335
H8,B05,456.082335
H9,B05,456.082335
H10,B05,456.082335
H11,B05,456.082335
H12,B05,456.082335
H13,B05,682.833007
H14,B05,682.833007
H15,B05,682.833007
H16,B05,682.833007
H17,B05,682.833007
H18,B05,682.833007
H1,B06,680.207863
H2,B06,680.207863
H3,B06,680.207863
H4,B06,680.207863
H5,B06,1124.389096
H6,B06,1124.389096
H7,B06,430.907382
H8,B06,430.907382
H9,B06,430.907382
H10,B06,430.907382
H11,B06,430.907382
H12,B06,430.907382
H13,B06,558.398094
H14,B06,558.398094
H15,B06,558.398094
H16,B06,558.398094
H17,B06,558.398094
H18,B06,558.398094
H1,B07,755.781761
H2,B07,755.781761
H3,B07,755.781761
H4,B07,755.781761
H5,B07,1093.861096
H6,B07,1093.861096
H7,B07,428.751305
H8,B07,428.751305
H9,B07,428.751305
H10,B07,428.751305
H11,B07,428.751305
H12,B07,428.751305
H13,B07,552.163711
H14,B07,552.163711
H15,B07,552.163711
H16,B07,552.163711
H17,B07,552.163711
H18,B07,552.163711
H1,B08,860.013242
H2,B08,860.013242
H3,B08,860.013242
H4,B08,860.013242
H5,B08,923.199854
H6,B08,923.199854
H7,B08,395.784917
H8,B08,395.784917
H9,B08,395.784917
H10,B08,395.784917
H11,B08,395.784917
H12,B08,395.784917
H13,B08,456.725789
H14,B08,456.725789
H15,B08,456.725789
H16,B08,456.725789
H17,B08,456.725789
H18,B08,456.725789
H1,B09,1164.04956
H2,B09,1164.04956
H3,B09,1164.04956
H4,B09,1164.04956
H5,B09,778.104169
H6,B09,778.104169
H7,B09,469.046841
H8,B09,469.046841
H9,B09,469.046841
H10,B09,469.046841
H11,B09,469.046841
H12,B09,469.046841
H13,B09,474.741639
H14,B09,474.741639
H15,B09,474.741639
H16,B09,474.741639
H17,B09,474.741639
H18,B09,474.741639
H1,B10,888.796776
H2,B10,888.796776
H3,B10,888.796776
H4,B10,888.796776
H5,B10,809.624168
H6,B10,809.624168
H7,B10,409.650504
H8,B10,409.650504
H9,B10,409.650504
H10,B10,409.650504
H11,B10,409.650504
H12,B10,409.650504
H13,B10,424.433991
H14,B10,424.433991
H15,B10,424.433991
H16,B10,424.433991
H17,B10,424.433991
H18,B10,424.433991
H1,B11,961.553907
H2,B11,961.553907
H3,B11,961.553907
H4,B11,961.553907
H5,B11,739.620424
H6,B11,739.620424
H7,B11,481.329283
H8,B11,481.329283
H9,B11,481.329283
H10,B11,481.329283
H11,B11,481.329283
H12,B11,481.329283
H13,B11,451.958924
H14,B11,451.958924
H15,B11,451.958924
H16,B11,451.958924
H17,B11,451.958924
H18,B11,451.958924
H1,B12,1299.478592
H2,B12,1299.478592
H3,B12,1299.478592
H4,B12,1299.478592
H5,B12,678.968019
H6,B12,678.968019
