machine_id,day,available
H1,1,1
H1,2,1
H1,3,1
H1,4,1
H1,5,1
H1,6,1
H1,7,1
H1,8,1
H1,9,1
H1,10,1
H1,11,1
H1,12,1
H1,13,1
H1,14,1
H1,15,1
H1,16,1
H1,17,1
H1,18,1
H1,19,1
H1,20,1
H1,21,1
H2,1,1
H2,2,1
H2,3,1
H2,4,1
H2,5,1
H2,6,1
H2,7,1
H2,8,1
H2,9,1
H2,10,1
H2,11,1
H2,12,1
H2,13,1
H2,14,1
H2,15,1
H2,16,1
H2,17,1
H2,18,1
H2,19,1
H2,20,1
H2,21,1
H3,1,1
H3,2,1
H3,3,1
H3,4,1
H3,5,1
H3,6,1
H3,7,1
H3,8,1
H3,9,1
H3,10,1
H3,11,1
H3,12,1
H3,13,1
H3,14,1
H3,15,1
H3,16,1
H3,17,1
H3,18,1
H3,19,1
H3,20,1
H3,21,1
H4,1,1
H4,2,1
H4,3,1
H4,4,1
H4,5,1
H4,6,1
H4,7,1
H4,8,1
H4,9,1
H4,10,1
H4,11,1
H4,12,1
H4,13,1
H4,14,1
H4,15,1
H4,16,1
H4,17,1
H4,18,1
H4,19,1
H4,20,1
H4,21,1
H5,1,1
H5,2,1
H5,3,1
H5,4,1
H5,5,1
H5,6,1
H5,7,1
H5,8,1
H5,9,1
H5,10,1
H5,11,1
H5,12,1
H5,13,1
H5,14,1
H5,15,1
H5,16,1
H5,17,1
H5,18,1
H5,19,1
H5,20,1
H5,21,1
H6,1,1
H6,2,1
H6,3,1
H6,4,1
H6,5,1
H6,6,1
H6,7,1
H6,8,1
H6,9,1
H6,10,1
H6,11,1
H6,12,1
H6,13,1
H6,14,1
H6,15,1
H6,16,1
H6,17,1
H6,18,1
H6,19,1
H6,20,1
H6,21,1
H7,1,1
H7,2,1
H7,3,1
H7,4,1
H7,5,1
H7,6,1
H7,7,1
H7,8,1
H7,9,1
H7,10,1
H7,11,1
H7,12,1
H7,13,1
H7,14,1
H7,15,1
H7,16,1
H7,17,1
H7,18,1
H7,19,1
H7,20,1
H7,21,1
H8,1,1
H8,2,1
H8,3,1
H8,4,1
H8,5,1
H8,6,1
H8,7,1
H8,8,1
H8,9,1
H8,10,1
H8,11,1
H8,12,1
H8,13,1
H8,14,1
H8,15,1
H8,16,1
H8,17,1
H8,18,1
H8,19,1
H8,20,1
H8,21,1
H9,1,1
H9,2,1
H9,3,1
H9,4,1
H9,5,1
H9,6,1
H9,7,1
H9,8,1
H9,9,1
H9,10,1
H9,11,1
H9,12,1
H9,13,1
H9,14,1
H9,15,1
H9,16,1
H9,17,1
H9,18,1
H9,19,1
H9,20,1
H9,21,1
