machine_id,block_id,rate
H1,B01,1194.708925
H2,B01,1194.708925
H3,B01,1480.641393
H4,B01,569.826226
H5,B01,569.826226
H6,B01,569.826226
H7,B01,937.184825
H8,B01,937.184825
H9,B01,937.184825
H1,B02,1077.717379
H2,B02,1077.717379
H3,B02,1333.631979
H4,B02,557.796904
H5,B02,557.796904
H6,B02,557.796904
H7,B02,810.152194
H8,B02,810.152194
H9,B02,810.152194
H1,B03,752.127193
H2,B03,752.127193
H3,B03,1470.580069
H4,B03,402.685881
H5,B03,402.685881
H6,B03,402.685881
H7,B03,658.944251
H8,B03,658.944251
H9,B03,658.944251
H1,B04,859.939075
H2,B04,859.939075
H3,B04,1273.37322
H4,B04,371.335225
H5,B04,371.335225
H6,B04,371.335225
H7,B04,528.74061
H8,B04,528.74061
H9,B04,528.74061
H1,B05,680.207863
H2,B05,680.207863
H3,B05,1866.090404
H4,B05,430.907382
H5,B05,430.907382
H6,B05,430.907382
H7,B05,798.260556
H8,B05,798.260556
H9,B05,798.260556
H1,B06,1166.331708
H2,B06,1166.331708
H3,B06,1287.592884
H4,B06,528.957757
H5,B06,528.957757
H6,B06,528.957757
H7,B06,756.301715
H8,B06,756.301715
H9,B06,756.301715
