,,3,34.29,43.89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,4,36.79,40.34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,5,43.69,37.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,6,41.44,39.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,7,33.51,58.03,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,8,33.36,57.64,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Brown et al. (2013),,1,12.3,3.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,2,10.8,3.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Carter et al. (2017),,1,8.766,1.852,8.816,1.066,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Chakroun et al. (2016),,1,70.77,8.5,0.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,2,86.47,6.64,0.8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,3,42.16,7.37,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,4,72.31,19.75,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,5,77.86,12.52,0.84,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Chung et al. (2022),,1,17.69,0.75,4.42,12.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,2,2.49,0.714,14.79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Di Fulvio & Bergström,(2013),1,5.4043,0.000874,1.1512,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Erber et al. (2016),,1,0.048,0.014,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,2,0.004,1.264,0.7,0.014,0.108,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,3,0.209,0.362,0.7,0.023,0.046,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,4,0.228,1.823,0.7,0.043,0.17,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Eriksson & Lindroos (2,014),1,3.704,0.134,0.161,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,2,3.135,0.378,0.066,0.056,0.072,2,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,3,3.148,0.379,0.077,0.06,0.071,2,0.079,0.038,0.044,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,4,2.371,0.365,0.075,0.061,0.072,2,0.076,0.033,0.042,0.026,0.031,0.004,0.073,0.109,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,5,2.704,0.353,0.075,0.062,0.067,2,0.077,0.034,0.042,0.027,0.032,0.004,0.079,0.061,0.112,0.027,0.039,0.024,0.022
,,,,,,,,,,,,,,,,,,,,,
,,6,3.466,0.211,0.112,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,7,3.592,0.693,0.037,0.039,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,8,3.514,0.665,0.051,0.047,0.037,0.035,0.008,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
,,9,2.822,0.638,0.051,0.057,0.039,0.033,0.007,0.021,0.045,0.051,0.281,0.314,0.041,0.02,0.018,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Fernandez-Lacruz et al.,(2013),1,5.4935,1.379,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,
Fernandez-Lacruz et al.,(2021),1,6.1603,1.6144,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
