,,,3,0.4415,0.1204,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,4,0.2274,0.1442,0.0347,0.0228,0.1883,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,5,0.3864,0.0644,0.206,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Walsh &,S,trandgard (2014),1,71.7,38.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,62.1,51.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Walsh et,a,l. (2014),1,68.66,33.617,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,63.768,35.231,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Williams,,& Ackerman (2016),1,9.14,1.34,1.91,0.52,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2020),1,0.46,0.01,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,2.73,0.76,0,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2018),1,1.8270908,0.7001146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,0.2138,0.0274,0.0025,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2019),1,1.06,0.98,0.12,2,0.01,3,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,0.32,0.25,0.13,2,0.01,3,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2017a),1,22.271,11.398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,19.965,9.8097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,3,12.519,2.668,0.0177,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,4,4.4214,1.3096,0.0127,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2017b),1,0.0626,0.0678,2,0.0014,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,0.8074,0.2731,0.0899,2,0.0021,3,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,3,0.1691,0.5005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis &,,Spalva (2022),1,5.3703,1.4103,0.0191,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,2,141.55,4.3887,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
Zimelis e,t,al. (2016),1,0.14736,1.4508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,137,,,,,,,,,,,
