,,2,EL,9,Power law model,,,,0.897,-,P <,0.001,-
,,,,,,,,,,,,,
George et al.,(2022),1,EL,542,Linear model,,,,0.57,-,P <,0.05,-
,,,,,,,,,,,,,
Ghaffariyan,(2013),1,EL,59,Log-linear model,,,,0.32,-,P =,0.05,-
,,,,,,,,,,,,,
,,2,EL,65,Power law model,,,,0.73,-,P =,0.05,-
,,,,,,,,,,,,,
Ghaffariyan,et al. (2019),1,CL,-,Power law model,,,,-,-,-,,-
,,,,,,,,,,,,,
Ghaffariyan,et al. (2013),1,EL,80,Log-linear model,,,,0.402,-,P =,0.05,-
,,,,,,,,,,,,,
Ghaffariyan,et al. (2015),1,CL,562,Exponential mode,l,,,0.519,-,P <,0.01,605.45
,,,,,,,,,,,,,
Green et al. (,2020),1,EL,110,Linear model,,,,0.5,-,P <,0.001,35.53
,,,,,,,,,,,,,
,,2,EL,168,Linear model,,,,0.23,-,P <,0.001,16.3
,,,,,,,,,,,,,
Grönlund &,Eliasson (2019),1,EL,10,Linear model,,,,0.942,-,SV,,-
,,,,,,,,,,,,,
Gülci et al. (,2021),1,EL,57,Linear model,,,,0.45,0.42,SV,,-
,,,,,,,,,,,,,
,,2,EL,57,Linear model,,,,0.49,0.46,SV,,-
,,,,,,,,,,,,,
,,3,EL,60,Second-degree pol,ynomial,model,,0.48,0.42,SV,,-
,,,,,,,,,,,,,
,,4,EL,60,Second-degree pol,ynomial,model,,0.5,0.44,SV,,-
,,,,,,,,,,,,,
Han et al. (2,018),1,EL,863,Linear model,,,,-,0.4329,P <,0.01,-
,,,,,,,,,,,,,
Hiesl & Ben,jamin (2013),1,CL,481,Linear model,,,,-,0.4,SV,,-
,,,,,,,,,,,,,
Hiesl & Ben,jamin (2015),1,CL,1154,Linear model,,,,-,0.2,SV,,-
,,,,,,,,,,,,,
Hiesl et al. (,2015),1,PL,12,Linear model,,,,-,0.36,SV,,-
,,,,,,,,,,,,,
,,2,PL,9,Linear model,,,,-,0.14,SV,,-
,,,,,,,,,,,,,
Holzleitner,& Kanzian (2022),1,EL,390,Power law model,,,,-,-,SV,,-
,,,,,,,,,,,,,
,,2,EL,390,Non-linear model,with pow,er law,and linear terms,0.553,0.548,SV,,-
,,,,,,,,,,,,,
,,3,EL,390,Power law model,,,,0.521,0.518,SV,,-
,,,,,,,,,,,,,
Horváth et a,l. (2016),1,EL,392,Non-linear model,with pow,er law,terms,0.58,-,P <,0.05,108.614
,,,,,,,,,,,,,
,,2,EL,135,Non-linear model,with pow,er law,terms,0.54,-,P <,0.05,30.61
,,,,,,,,,,,,,
,,3,EL,593,Non-linear model,with pow,er law,terms,0.48,-,P <,0.05,110.199
,,,,,,,,,,,,,
,,4,EL,275,Non-linear model,with pow,er law,terms,0.57,-,P <,0.05,71.622
,,,,,,,,,,,,,
,,5,EL,1426,Non-linear model,with pow,er law,terms,0.53,-,P <,0.05,316.94
,,,,,,,,,,,,,
,,6,EL,501,Non-linear model,with pow,er law,terms,0.61,-,P <,0.05,196.174
,,,,,,,,,,,,,
,,7,EL,1928,Non-linear model,with pow,er law,terms,0.35,-,P <,0.05,207.455
,,,,,,,,,,,,,
,,8,EL,496,Non-linear model,with pow,er law,terms,0.61,-,P <,0.05,150.526
,,,,,,,,,,,,,
,,9,EL,1026,Non-linear model,with pow,er law,terms,0.57,-,P <,0.05,271.479
