page,row,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
88,1,"mean values between areas, units, or treatments.",,,,,,,,,
88,2,Author(s),TSC,Stand Age,Stem Volume,DBH,Ground Condition,Ground Roughness,Slope,Nr. of,
88,3,,,,,,,,,Operators,
88,4,Ackerman et al. (2018),Eucalyptus grandis x,8,0.154 (0.034-0.477) m³ub,15.89 (9.00-27.20) cm,2/3 - Erasmus (1994),3 - Erasmus (1994),23 (5-55)%,1,
88,5,,camaldulensis,,,,,,,,
88,6,Ackerman et al. (2021),"*Pinus patula, Pinus elliotti,",-,"0.92 (0.01-2.50) m³,","31.38 (7.30-59.70) cm, before",Good Ground Conditions -,-,Predominately Flat,-,-
88,7,,Pinus taeda,,before trimming of data,trimming of data,Erasmus (1994),,- Erasmus (1994),,
88,8,Ackerman et al. (2022),Pinus patula,10,0.12 (0.03-0.13) m³,15.9 (8.2-26.0) cm,Firm - Erasmus (1994),Even - Erasmus,Level - Erasmus,1,-
88,9,,,,,,,(1994),(1994),,
88,10,Acosta et al. (2021),Teak,18,0.3408 m³,-,Clayey With Good Drainage,-,<15%,1,
88,11,Acuna et al. (2017),Eucalyptus globulus,"9,5",*(0.233-0.464) m³ub,*(167-253) mm,Firm And Even,Firm And Even,(0-6)°,1,
88,12,Alam et al. (2014),Radiata pine,*(34-35),*(1.8-2.4) m³,*(39.0-51.2) cm,-,Good,<5°,2,
88,13,Apăfăian et al. (2017),Picea Abies,45,0.364 (0.044-0.676) m³,23 cm,Luvosoil,-,10%,1,-
88,14,Berendt et al. (2020),"*Picea abies, *Pseudotsuga",*(35-56),*(0.14-0.54) m³,*(18.5-33.4) cm,-,-,(60-70)%,1,-
88,15,,"menziesii, Pinus sylvestris,",,,,,,,,
88,16,,"Acer pseudoplatanus, Fagus",,,,,,,,
88,17,,sylvatica,,,,,,,,
88,18,Berg et al. (2014),"Picea abies, Pinus sylvestris,",*(90-200),*(0.104-2.068) m3,*(144-419) mm,1 - Berg (1992),1 - Berg (1992),1 - Berg (1992),-,-
88,19,,Deciduous,,,,,,,,
88,20,Bergström & Di Fulvio (2014),"Pinus sylvestris, Picea abies,",-,51 *(49-55) dm³,9.3 *(9.1-9.6) cm,2 - Berg (1992),3 - Berg (1992),1 - Berg (1992),1,
88,21,,Betula spp,,,,,,,,
89,1,Bergström et al. (2016),"Pinus sylvestris, Picea abies,",30-35,26.5 *(15.0-43.0) dm3,7.1 *(5.5-8.5) cm,2 - Berg (1992),1 - Berg (1992),1 - Berg (1992),1,
89,2,,"Betula spp., Alnus incana,",,,,,,,,
89,3,,Pinus Contorta,,,,,,,,
89,4,Bergström et al. (2022),"Acer pseudoplatanus, Betula",*(20-40),"*(10-64) dm³, whole tree",*(3.3-9.4) cm,*(1-2) - Berg (1992),*(1-2) - Berg (1992),*(1-2) - Berg,1,
89,5,,"spp., Corylus avellana,",,volume,,,,(1992),,
89,6,,"Fagus sylvatica, Ostrya",,,,,,,,
89,7,,"carpinifolia, Alnus incana,",,,,,,,,
89,8,,"Sorbus aucuparia, Salix",,,,,,,,
