,,-,CTL,H,PB,RW,John Deere,1070,H754,,No,Yes,-,,Shelterwood Harvest,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Gremo 105,0h,SP 561,,No,Yes,-,,Shelterwood Harvest,
,,,,,,,,,,,,,,,,
Gülci et al. (2,021),-,FT,FB,EB,CT,-,,Wood Crac,ker C450,No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,
Han et al. (20,18),-,FT,FB,PB,CT,TimberPro,TL735 B,-,,No,-,-,,Clearcutting/Salvage,Harvesting
,,,,,,,,,,,,,,,,
Hiesl & Benj,amin (2013),6,FT,FB,PB,CT,-,,-,,No,Yes,-,,Partial Harvest,
,,,,,,,,,,,,,,,,
Hiesl & Benj,amin (2015),-,CTL,H,PB,RW,Ponsse Ergo,,-,,No,No,-,,Thinning,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Timberjack,1270 D,-,,No,No,-,,Thinning,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Valmet 911,.4,-,,No,No,-,,Thinning,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Ponsse Fox,,-,,No,No,-,,Thinning,
,,,,,,,,,,,,,,,,
Hiesl et al. (2,015),-,CTL,H,PB,RW,Ponsse Ergo,,-,,No,-,T-3792,min,Thinning From Below,
,,,,,,,,,,,,,,,,
,,-,FT,FB,PB,CT,CAT 501,,-,,No,-,T-3876,min,Thinning From Below,
,,,,,,,,,,,,,,,,
Holzleitner &,Kanzian (2022),-,CTL,H,PB,RW,John Deere,1270 G,John Deere,H415,Yes,No,-,,Thinning,
,,,,,,,,,,,,,,,,
Horváth et al.,(2016),-,CTL,H,-,-,-,,-,,No,No,-,,Unspecified Harvestin,g
,,,,,,,,,,,,,,,,
Jernigan et al,. (2015),-,FT,FB,PB,CT,Tigercat 84,5D,-,,No,Yes,-,,Clearcutting,
,,,,,,,,,,,,,,,,
Jylhä & Berg,ström (2016),-,FT,FB,PB,RW,Valmet 911,.3,Bracke C16,.b,No,Yes,-,,Clearcutting,
,,,,,,,,,,,,,,,,
Kärhä et al. (,2018a),-,CTL,H,PB,RW,Ponsse Ergo,,Ponsse H73,,No,No,-,,"Clearcutting, Salvage",Harvesting
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,John Deere,1270D ECOIII,John Deere,H414,No,No,-,,"Clearcutting, Salvage",Harvesting
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Logset 8H,GT,Logset TH,75X,No,No,-,,"Clearcutting, Salvage",Harvesting
,,,,,,,,,,,,,,,,
Kärhä et al. (,2018b),3,CTL,HW,PB,RW,Ponsse Wis,ent Dual,-,,No,-,-,,"Clearcutting, Thinnin","g, Other/Co"
,,,,,,,,,,,,,,,,
,,2,CTL,HW,PB,RW,Valmet 801,Combi,-,,No,-,-,,"Clearcutting, Thinnin","g, Other/Co"
,,,,,,,,,,,,,,,,
Kärhä et al. (,2019),-,CTL,H,PB,RW,John Deere,1270G,John Deere,H414,No,No,-,,Final Felling,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Komatsu 91,1.5,Komatsu 36,5,No,No,-,,Final Felling,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Komatsu 93,1.1,Komatsu 36,5,No,No,-,,Final Felling,
,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Ponsse Ergo,,Ponsse H7,,No,No,-,,Final Felling,
,,,,,,,,,,,,,,,,
Karpachev &,Bykovskiy (2019),-,FT,FB Sim,PB,RW,-,,-,,No,Yes,-,,Unspecified Harvestin,g
,,,,,,,,,,,,,,,,
Kim et al. (20,17),-,FT,FB,PB,CT,Tigercat LX,830C,Tigercat 57,02,No,Yes,-,,Clearcutting/Salvage,Harvesting
,,,,,,,,,,,,,,,,
Kizha & Han,(2016),2,FT,FB,PB,CT,John Deere,959K,-,,No,No,-,,Clearcutting,
,,,,,,,,,,,,,,,,
Kormanek &,Baj (2018),-,CTL,H,PB,RW,Fao Far 684,0,Arbo Stroke,400 S,No,No,T-6 hou,rs,Negative Thinning,
,,,,,,,,,,,,,,,,
Kormanek &,Kępa (2016),-,CTL,H,PB,RW,Highlander,harvester,Woody 60,,No,No,T-6 hou,rs,Unspecified Harvestin,g
,,,,,,,,,,,,,,,,
Krč et al. (20,15),-,CTL,H,PB,RW,Timberjack,1270 D,H 754,,No,No,T-13.3,hours,Thinning,
,,,,,,,,,,,,,,,,
Labelle et al.,(2017),-,CTL,H,EB,CT,Atlas König,stiger T23,Ponsse H6,,No,No,-,,Thinning,
,,,,,,,,,,,,,,,,
Labelle et al.,(2018),-,CTL,H,PB,RW,TimberPro,TF840-B,SP Maskine,r SP861LF,No,No,-,,Regeneration Cut,
