,,2,CTL,H,PB,RW,Komatsu 90,1TX.1,350,,,No,-,-,Selective Thinning,From,"Below,","Clearcutting,"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Seed-Tree Cutting,",Strip,Harvesti,ng
,,,,,,,,,,,,,,,,,,
,,3,CTL,H,PB,RW,John Deere,1270E,H414,,,No,-,-,Selective Thinning,From,"Below,","Clearcutting,"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Seed-Tree Cutting,",Strip,Harvesti,ng
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,John Deere,1270E,H415,,,No,-,-,Selective Thinning,From,"Below,","Clearcutting,"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Seed-Tree Cutting,",Strip,Harvesti,ng
,,,,,,,,,,,,,,,,,,
,,3,CTL,H,PB,RW,John Deere,1270E,H480,,,No,-,-,Selective Thinning,From,"Below,","Clearcutting,"
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"Seed-Tree Cutting,",Strip,Harvesti,ng
,,,,,,,,,,,,,,,,,,
Louis & Kizha,(2021),-,FT,FB,PB,CT,John Deere,853,-,,,No,Yes,-,"Clearcutting, Partia",l Harv,esting,
,,,,,,,,,,,,,,,,,,
Magagnotti et,al. (2021),-,CTL,H,PB,RW,Ponsse Bea,ver,Ponsse H6,,,No,Yes,P-7.2 hours,Clearcutting,,,
,,,,,,,,,,,,,,,,,,
Manner et al. (,2023),-,CTL,H,PB,RW,Ponsse Scor,pion,Ponsse H6,,,No,No,-,Selection Cutting,,,
,,,,,,,,,,,,,,,,,,
McEwan et al.,(2016),-,CTL,H,EB,CT,Sumitomo S,H210,Waratah H,TH,616C,Yes,No,T-19.8 hours,"Includes Coppice,",Unspe,cified H,arvesting
,,,,,,,,,,,,,,,,,,
Mederski et al,. (2016),-,CTL,H,PB,RW,Komatsu 93,1.1,Komatsu,365,,No,-,-,Thinning,,,
,,,,,,,,,,,,,,,,,,
Norihiro et al.,(2018),-,CTL,H,EB,CT,Hitachi Zax,is 200,Waratah H,61,6,Yes,No,-,Clearcutting,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,CT,Timberpro,TL-725B,Maskiner,SP,591-LX,No,No,-,"Includes Coppice, C",learc,utting,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,EB,CT,Volvo EC-2,10bf,Maskiner,SP,591-LX,No,No,-,"Includes Coppice, C",learc,utting,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,EB,CT,Hitachi Zax,is 200,Waratah H,61,6,Yes,No,-,Clearcutting,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,EB,CT,Hitachi Zax,is 200,Maskiner,SP,591-LX,No,No,-,Clearcutting,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,EB,CT,Komatsu PC,200,Maskiner,SP,591-LX,Yes,No,-,"Includes Coppice, C",learc,utting,
,,,,,,,,,,,,,,,,,,
Nuutinen & Bj,örheden (2016),-,B (FT),FB,PB,RW,Logman 81,1 FC,Nisula 28,0E+,,No,Yes,-,Thinning,,,
,,,,,,,,,,,,,,,,,,
Olivera et al. (,2016),-,CTL,H,PB,RW,Ponsse Ergo,8W,Ponsse H7,eu,ca,Yes,No,T-1414 hours,Unspecified Harves,ting,,
,,,,,,,,,,,,,,,,,,
Petitmermet et,al. (2019),-,CTL,H,PB,RW,Ponsse Bear,,-,,,No,-,T-107 hours,"Thinning, Dry-Fore",st-Fue,l-Reduc,tion Treatme
,,,,,,,,,,,,,,,,,,
Petty & Kärhä,(2014),-,CTL,H,PB,RW,Ponsse Ergo,,Ponsse H7,,,No,Yes,-,Thinning,,,
,,,,,,,,,,,,,,,,,,
Polowy & Mo,lińska-Glura,-,CTL,H,PB,RW,John Deere,1070E,John Deer,e H,412,No,-,-,"Thinning, Clearing",After,Wind D,amage
,,,,,,,,,,,,,,,,,,
(2023),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,John Deere,1070G,John Deer,e H,412,No,-,-,"Thinning, Clearing",After,Wind D,amage
,,,,,,,,,,,,,,,,,,
Prinz et al. (20,21),-,CTL,H,PB,RW,Ponsse Scor,pion,H6,,,No,No,P-137 min,Final Felling,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Ponsse Ergo,,H7,,,No,No,P-141 min,Final Felling,,,
,,,,,,,,,,,,,,,,,,
Ramantswana,et al. (2013),-,CTL,H,EB,CT,Hitachi Zax,is 200-3,Waratah H,TH,616,Yes,No,-,"Includes Coppice,",Unspe,cified H,arvesting
,,,,,,,,,,,,,,,,,,
Rosińska et al.,(2022),-,CTL,H,PB,RW,John Deere,1270 D,758HD,,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,John Deere,1270E,H480C,,,No,No,-,Thinning,,,
,,,,,,,,,,,,,,,,,,
,,-,CTL,H,PB,RW,Ponsse Ergo,,H73,,,No,No,-,Thinning,,,
