Strandgard,&,Mitchell,(2018),*Some trees had several,-,*CTL,H,,EB,CT,Hyundai 21,0LC-9,SP 591LX,Yes,*Yes,-,Includes Cop
,,,,,,,,,,,,,,,,,
,,,,"stems, but each stem was",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,processed individually,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Strandgard,&,Mitchell,(2019),,-,CTL,H,,PB,CT,John Deere,903KH,Waratah 624C,No,No,-,Final Harves
,,,,,,,,,,,,,,,,,
Strandgard,&,Mitchell,(2020),,-,CTL,H,,PB,RW,John Deere,1470e,JD H290,No,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,FT,FB,,EB,CT,Komatsu P,C 300 HW,Rosin 800,No,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
Strandgard,et,al. (2016,),,5,CTL,H,,EB,CT,CAT 320D,,Southstar 450,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,2,CTL,H,,EB,CT,CAT 322C,,Waratah 616,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,CAT 322C,,Waratah 616b,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,5,CTL,H,,EB,CT,CAT 322CL,,Waratah 620,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,CAT 322CL,,Waratah 616C,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,3,CTL,H,,EB,CT,CAT 324D,,Waratah 618c,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,5,CTL,H,,PB,CT,CAT 324D,FM,Waratah 616C,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,6,CTL,H,,PB,CT,CAT 324D,FM,Waratah 616D,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,CAT 324D,L,Waratah 616c,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,PB,CT,CAT 521,,Waratah 620,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,5,CTL,H,,PB,CT,CAT 511,,Waratah 616C,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,PB,CT,Valmet 425,EX,Valmet 378,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,Volvo 210,,Waratah 616,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,3,CTL,H,,EB,CT,Volvo 210B,,Waratah 616,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,3,CTL,H,,EB,CT,Volvo 210B,,Waratah 616C,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,Volvo EC2,10BLC,Waratah 616B,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,Volvo EC2,10BLC,Maskiner 591,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,Volvo EC2,40C,Waratah 616C,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,EB,CT,Volvo EC2,50DL,Waratah 616c,Yes,No,-,Clearcutting
,,,,,,,,,,,,,,,,,
Strandgard,et,al. (2015,),,-,FT,FB,,PB,CT,Timbco 445,B,Quadco hotsaw,No,Yes,-,Clearcutting
,,,,,,,,,,,,,,,,,
Tajbos & M,es,singerov,a (2014),,-,CTL,H,,PB,RW,John Deere,770D,-,No,No,-,Thinning
,,,,,,,,,,,,,,,,,
,,,,,-,CTL,H,,PB,RW,Valmet 911,.1,-,No,No,-,Thinning
,,,,,,,,,,,,,,,,,
Tolosana et,al,. (2023),,,-,B (FT),FB,,PB,RW,Logman 81,1 FC,Nisula 280E+,No,-,T-30.4 hours,"Clearcutting,"
,,,,,,,,,,,,,,,,,
Tolosana et,al,. (2018),,,-,FT,FB,DT,PB,RW,John Deere,643J,JD FD45,No,Yes,-,Includes Cop
,,,,,,,,,,,,,,,,,
Townsend e,t a,l. (2019),,,-,FT,FB,DT,PB,RW,Tigercat 72,6G,-,No,Yes,-,Restoration
,,,,,,,,,,,,,,,,,
,,,,,-,FT,FB,DT,PB,RW,John Deere,843 L (2),-,No,Yes,-,Restoration
