Manner et al. (,2023),"Pinus sylvestris,","Picea abies,",90,0.642 *(0.500-0.867) m³ub,-,,2 - Berg (1992),2 - Berg (1992),1 - Berg (1992),1,>10 Years
,,,,,,,,,,,,
,,Betula spp,,,,,,,,,,Experience
,,,,,,,,,,,,
McEwan et al.,(2016),Eucalyptus gran,dis,11,0.466 m³ub,21 (8-40) cm,,-,Smooth -,<20% -,2,1 and 10 Ye
,,,,,,,,,,,,
,,,,,,,,,Erasmus (1994),Erasmus (1994),,Experience
,,,,,,,,,,,,
Mederski et al.,(2016),Pinus sylvestris,,*(40-100),0.14 m3,*(19.5-25.2) cm,,-,-,-,2,7 Years Exp
,,,,,,,,,,,,
Norihiro et al.,(2018),Eucalyptus gran,dis x,*(7-12),*(0.12-0.38) m3,"*(15.3-21.6), (5.",2-35.7) cm,-,-,*(0-61)%,-,Trained
,,,,,,,,,,,,
,,"camaldulensis,",Eucalyptus,,,,,,,,,
,,,,,,,,,,,,
,,grandis x uroph,"ylla,",,,,,,,,,
,,,,,,,,,,,,
,,Eucalyptus smitt,"hii,",,,,,,,,,
,,,,,,,,,,,,
,,Eucalyptus dunn,ii,,,,,,,,,
,,,,,,,,,,,,
Nuutinen & Bj,örheden (2016),"*Pine, Spruce, B",irch,*(25-40),"*(27-84) dm³, above",-,,-,-,-,1,Skilled
,,,,,,,,,,,,
,,,,,ground volume,,,,,,,
,,,,,,,,,,,,
Olivera et al. (,2016),Eucalyptus bico,"stata,",*(15-19),*(0.29-0.55) m³ub,*(183-223) mm,,"Loam, Predominantly Deep",-,"Gentle, Mostly",3,10 To More
,,,,,,,,,,,,
,,Eucalyptus dunn,"ii,",,,,,,,"Below 6%,",,Months Exp
,,,,,,,,,,,,
,,Eucalyptus gran,"dis,",,,,,,,Occasionally Over,,
,,,,,,,,,,,,
,,Eucalyptus maid,enii,,,,,,,12%,,
,,,,,,,,,,,,
Petitmermet et,al. (2019),"Abies concolor,",Pinus,-,-,<53.3 cm,,Primarily Loamy-Skeletal,-,38 (12-70)%,1,Highly Expe
,,,,,,,,,,,,
,,ponderosa,,,,,,,,,,
,,,,,,,,,,,,
Petty & Kärhä,(2014),"Picea abies, Pin","us sylvestris,",-,63 *(51-77) dm³,10.9 *(10.0-12.3,) cm,High Bearing Capacity,No Foreign Obstacles,Level Terrain,1,>10 Years
,,,,,,,,,,,,
,,"broadleaves, pri",marily,,,,,,,,,"Experience,"
,,,,,,,,,,,,
,,Betula pubescen,s,,,,,,,,,Months Mul
,,,,,,,,,,,,
,,,,,,,,,,,,Cutting Exp
,,,,,,,,,,,,
Polowy & Mol,ińska-Glura,-,,-,0.266 (0.057-0.737) m³,-,,-,-,-,-,Experienced
,,,,,,,,,,,,
(2023),,,,,,,,,,,,
,,,,,,,,,,,,
Prinz et al. (20,21),"Pinus sylvestris,","Picea abies,",-,-,"*(252-364) mm,",mean felling,-,-,-,2,>20 Years
,,,,,,,,,,,,
,,"Betula pendula,",Other,,,cutting diameter,,,,,,Experience
,,,,,,,,,,,,
,,broadleaves,,,,,,,,,,
,,,,,,,,,,,,
Ramantswana,et al. (2013),Eucalyptus gran,dis,*(7-11),*(0.165-0.275) m³,-,,-,Smooth -,Level -,-,-
,,,,,,,,,,,,
,,,,,,,,,Erasmus (1994),Erasmus (1994),,
,,,,,,,,,,,,
Rosińska et al.,(2022),Silver birch,,59 *(28-,-,23.7 *(12.7-33.5,) cm,-,-,-,9,2-10 Years
,,,,,,,,,,,,
,,,,79),,,,,,,,Experience
