page,table,author,model,harvest_method,machine_type,base_machine,propulsion,dv_type,units,formula
114,1,Spinelli et al. (2023),1,CTL,H,PB RW,PW,(Bone dry ton SMH⁻¹)*,a+bB₃-cT₅B₃,
114,1,Spinelli et al. (2020a),1,CTL,H Sim,PB RW,PV,(m³ h⁻¹)-U,a+bP₁-cO₈,
114,1,Spinelli et al. (2020a),2,CTL,H Sim,PB RW,PV,(m³ h⁻¹)-U,a-bM₂,
114,1,Spinelli et al. (2020b),1,FT,FB,EB CT,W,cycle (s),a-bB₁₄,
114,1,Spinelli et al. (2020b),2,FT,FB,EB CT,PU,(tree SMH⁻¹)*,a-bB₁₄,
114,1,Spinelli et al. (2020b),3,FT,FB,EB CT,PW,(ton SMH⁻¹)*,a-bB₁₄,
114,1,Stoilov et al. (2021),1,CTL,SH,PB RW,W,cycle (min),-a+bA₉+cE₈+dN₃,
114,1,Stoilov et al. (2021),2,CTL,SH,PB RW,W,cycle (min)-D,aA₉,
114,1,Stoilov et al. (2021),3,CTL,SH,PB RW,PV,(m³ PMh⁻¹),a-bA₉-cN₃,
114,1,Stoilov et al. (2021),4,CTL,SH,PB RW,PV,(m³ PMh⁻¹)-D,a-bA₉,
114,1,Strandgard & Mitchell (2018),1,*CTL,H,EB CT,W,cycle (s),aexpa+bN₁₀+cN₄,
114,1,Strandgard & Mitchell (2018),2,*CTL,H,EB CT,W,cycle (s),aexpa+bN₄,
114,1,Strandgard & Mitchell (2018),3,*CTL,H,EB CT,W,cycle (s),aexpa+bN₄,
114,1,Strandgard & Mitchell (2018),4,*CTL,H,EB CT,E,fell (s),a+bN₄,
114,1,Strandgard & Mitchell (2018),5,*CTL,H,EB CT,E,process (s),aexpa+bN₁₀+cN₄,
114,1,Strandgard & Mitchell (2018),6,*CTL,H,EB CT,E,process (s),aexpa+bN₁₀+cN₄,
114,1,Strandgard & Mitchell (2018),7,*CTL,H,EB CT,E,process (s),aexpa+bN₄,
114,1,Strandgard & Mitchell (2019),1,CTL,H,PB CT,W,cycle (PMh0),aexpbV₁,
114,1,Strandgard & Mitchell (2019),2,CTL,H,PB CT,PV,(m³ PMh0⁻¹),aV₁b,
114,1,Strandgard & Mitchell (2019),3,CTL,H,PB CT,W,cycle (PMh0),aexpbV₁,
114,1,Strandgard & Mitchell (2019),4,CTL,H,PB CT,PV,(m³ PMh0⁻¹),aV₁b,
114,1,Strandgard & Mitchell (2020),1,FT,FB,EB CT,PV,(m³ PMh0⁻¹),aV₁b,
114,1,Strandgard & Mitchell (2020),2,CTL,H,PB RW,W,cycle (min),aV₁b,
114,1,Strandgard & Mitchell (2020),3,CTL,H,PB RW,PV,(m³ PMh0⁻¹),aV₁b,
114,1,Strandgard et al. (2016),1,CTL,H,"PB, EB  CT",PV,(m³ PMh0⁻¹),a+bV₁+cE₃,
114,1,Strandgard et al. (2016),2,CTL,H,"PB, EB  CT",PV,(m³ PMh0⁻¹),a+bV₁,
114,1,Strandgard et al. (2015),1,FT,FB,PB CT,PV,(m³ PMh0⁻¹),aV₁₀bV₁₁c,
114,1,Tajbos & Messingerova (2014),1,CTL,H,PB RW,W,cycle (min),a+bV₁,
114,1,Tajbos & Messingerova (2014),2,CTL,H,PB RW,W,cycle (min),a+bV₁,
114,1,Tajbos & Messingerova (2014),3,CTL,H,PB RW,M,move (min),a+bA₁,
